V1,V2,V3,V4
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
-6.03,-6.03,-6.03,-6.03
